前区号码\后区号码,1,2,3,4,5,6,7,8,9,10,11,12
1,2,0,1,1,1,0,1,1,0,1,0,2
2,0,1,0,0,1,1,0,0,0,1,2,2
3,2,2,0,0,0,2,1,1,0,1,1,0
4,1,1,0,1,1,1,0,0,1,1,0,1
5,0,0,0,0,2,0,2,0,1,2,2,1
6,2,1,1,0,2,1,0,3,2,1,5,0
7,3,2,0,2,1,2,0,2,1,2,0,1
8,0,0,2,1,1,2,0,1,2,2,2,1
9,3,0,1,1,0,1,1,1,0,1,1,0
10,2,0,1,1,0,1,0,1,0,2,0,2
11,2,1,1,1,1,0,0,2,0,2,2,0
12,3,1,0,0,2,1,2,1,1,2,1,0
13,1,1,0,0,3,1,0,1,0,0,1,2
14,1,0,0,1,0,3,2,0,0,1,0,0
15,1,0,1,1,0,2,0,0,0,1,0,0
16,1,1,0,0,1,1,0,1,1,0,0,0
17,0,0,0,0,0,1,1,1,0,1,2,0
18,0,1,2,0,1,1,1,0,0,1,2,1
19,1,1,0,0,0,3,1,0,2,2,2,0
20,2,0,0,1,2,0,2,2,0,0,3,0
21,1,2,2,1,0,1,0,1,1,2,1,0
22,1,0,1,1,0,2,0,0,1,0,0,0
23,0,0,1,0,2,1,1,2,0,0,1,0
24,3,0,2,1,1,1,2,1,0,1,0,0
25,0,1,1,1,0,0,0,0,0,1,1,1
26,0,0,0,0,0,0,1,0,0,1,0,0
27,0,2,2,0,0,2,0,2,0,0,0,0
28,1,0,1,1,0,3,1,0,1,0,0,0
29,3,1,0,2,1,1,2,1,0,2,0,1
30,0,1,1,0,0,1,0,0,0,0,0,1
31,1,0,0,1,1,0,0,1,1,1,1,1
32,0,0,0,1,0,1,1,1,2,2,2,0
33,1,0,1,0,0,0,1,0,1,3,0,1
34,1,0,2,0,0,1,2,1,1,2,0,0
35,1,0,1,0,1,2,0,2,1,1,3,2
