,行业大类,富豪数量,财富总值,细分行业数,平均财富,财富占比,代表人物
2,C-制造业,175,84733.0,175,484.18857142857144,40.31,钟慧娟
9,J-金融业,157,49364.0,157,314.4203821656051,23.48,李嘉诚
10,K-房地产业,20,17594.2,20,879.71,8.37,李兆基
8,I-信息传输、软件和信息技术服务业,35,17103.0,35,488.65714285714284,8.14,马化腾
5,F-批发和零售业,20,10023.0,20,501.15,4.77,马云
6,G-交通运输、仓储和邮政业,11,4983.0,11,453.0,2.37,苏海文
16,R-文化、体育和娱乐业,12,4932.0,12,411.0,2.35,蔡浩宇
3,D-电力、热力、燃气及水生产和供应业,19,4440.0,19,233.68421052631578,2.11,米高·嘉道理
1,B-采矿业,20,3937.0,20,196.85,1.87,于泳
0,A-农、林、牧、渔业,9,3210.0,9,356.6666666666667,1.53,秦英林
4,E-建筑业,7,2130.0,7,304.2857142857143,1.01,严昊
13,O-居民服务、修理和其他服务业,6,1970.0,6,328.3333333333333,0.94,王兴
15,Q-卫生和社会工作,7,1955.0,7,279.2857142857143,0.93,陈邦
7,H-住宿和餐饮业,3,1946.0,3,648.6666666666666,0.93,张勇
14,P-教育,4,756.0,4,189.0,0.36,俞敏洪
11,L-租赁和商务服务业,4,675.0,4,168.75,0.32,彭铁缆
12,N-水利、环境和公共设施管理业,4,460.0,4,115.0,0.22,张茵
